PDB,Ligand,Chain,Number,Resolution(A),Ligand Occupation Factor,Ki(M),log(Ki),pKi,RMSD(A),Torsions,Q,Average Q,Ligand B-factor(A2),Receptor B-factor(A2),B-factor ratio (Ligand/Receptor),C,N,O,P,S,F,Cl,Br,Affinity(kcal/mol),Gauss 1,Gauss 2,Repulsion,Hydrophobic,Hydrogen,Torsional
1TNG,AMC,A,900,1.8,1.0,0.00117,-2.9318141382538383,2.9318141382538383,ND,2,1.0,0.09090909090909091,16.55,17.334203187251013,0.9547597787576542,7,1,0,0,0,0,0,0,-4.068,38.03,501.848,1.871,3.707,2.964,0.47712125471966244
1CSI,CMX,A,700,1.7,1.0,1.6000000000000003e-09,-8.795880017344075,8.795880017344075,ND,22,-4.501000000000002,-0.0750166666666667,10.619333333333334,17.431542372881292,0.609202163880467,23,7,18,3,0,0,0,0,-6.896,144.975,2202.021,10.575,13.083,11.359,1.3617278360175928
1TNJ,PEA,A,900,1.8,1.0,0.011,-1.958607314841775,1.958607314841775,ND,3,1.0010000000000001,0.08341666666666668,36.713333333333324,19.16024900398409,1.9161198440427014,8,1,0,0,0,0,0,0,-3.546,53.188,561.102,2.655,3.272,2.018,0.6020599913279624
1HVL,A76,B,800,1.8,1.0,1.12e-10,-9.950781977329818,9.950781977329818,ND,21,0.00400000000000017,6.0606060606063186e-05,25.214393939393936,26.772700216450204,0.9417949529013595,44,8,6,0,0,0,0,0,-9.897,156.481,2494.101,5.237,84.579,6.533,1.3424226808222062
1HVK,A79,A,800,1.8,1.0,1.0999999999999999e-11,-10.958607314841775,10.958607314841775,ND,21,0.004000000000000149,6.060606060606287e-05,20.474848484848483,21.443647186147157,0.9548211788373142,44,8,6,0,0,0,0,0,-10.679,177.98,2532.252,5.886,93.605,8.127,1.3424226808222062
1HVI,A77,A,800,1.8,1.0,1.2e-11,-10.920818753952375,10.920818753952375,ND,21,0.004000000000000108,6.060606060606224e-05,19.91727272727273,25.167624458874496,0.7913846918615154,44,8,6,0,0,0,0,0,-9.992,154.061,2488.09,5.659,82.641,7.803,1.3424226808222062
1CSH,AMX,A,700,1.6,1.0,2.8000000000000003e-08,-7.552841968657781,7.552841968657781,ND,22,-3.4990000000000023,-0.05643548387096778,13.722741935483871,20.395656174334146,0.6728266949681444,23,8,17,3,0,0,0,0,-7.282,144.766,2200.204,10.659,13.205,12.966,1.3617278360175928
1TNK,PRA,A,900,1.8,1.0,0.0325,-1.4881166390211256,1.4881166390211256,ND,4,1.0030000000000001,0.07715384615384616,31.862307692307695,18.36426792828684,1.735016490541916,9,1,0,0,0,0,0,0,-3.642,50.544,616.213,2.575,5.132,1.996,0.6989700043360189
1LCP,PLU,A,500,1.6,1.0,2.3e-07,-6.638272163982407,6.638272163982407,ND,4,-0.4999999999999999,-0.03846153846153845,8.411538461538463,11.532067394260158,0.7294042060251164,5,1,3,1,0,0,0,0,-3.269,36.092,555.842,2.73,1.208,3.171,0.6989700043360189
1HVR,XK2,A,263,1.8,1.0,3.1e-10,-9.508638306165727,9.508638306165727,ND,10,0.005000000000000039,0.00010416666666666749,20.51291666666667,28.093247535596987,0.7301724957456317,41,2,3,0,0,0,0,0,-13.906,131.192,2300.353,3.044,118.138,4.139,1.041392685158225
1BTY,BEN,A,246,1.5,1.0,1.8399999999999997e-05,-4.735182176990463,4.735182176990463,ND,2,-0.0010000000000000564,-7.692307692308126e-05,13.755384615384616,15.113600597609555,0.9101328651995897,7,2,0,0,0,0,0,0,-4.982,58.533,581.09,2.745,3.668,3.901,0.47712125471966244
1EAS,TFK,A,1,1.8,1.0,1.8000000000000002e-08,-7.7447274948966935,7.7447274948966935,ND,11,0.0009999999999998621,2.70270270270233e-05,13.4727027027027,20.412717584369414,0.6600151423747284,20,4,5,0,1,3,0,0,-0.924,100.071,1428.515,17.262,19.89,6.847,1.0791812460476249
1BMA,0QH,A,256,1.8,1.0,2.6e-05,-4.585026652029182,4.585026652029182,ND,11,0.0019999999999999463,0.00011111111111110812,28.391666666666666,17.774045293072817,1.597366620739507,8,2,2,0,0,3,0,0,-4.881,57.85,725.154,1.533,13.425,1.899,1.0791812460476249
1CSR,FAM,A,700,1.7,1.0,4.2000000000000006e-08,-7.376750709602099,7.376750709602099,ND,22,-3.499000000000001,-0.055539682539682556,24.801904761904762,27.272133171912916,0.9094229851974983,23,8,17,3,0,1,0,0,-7.323,155.872,2269.828,10.349,12.878,11.363,1.3617278360175928
1AHT,APA,H,401,1.6,1.0,6.2e-07,-6.2076083105017466,6.2076083105017466,ND,6,-0.9999999999999998,-0.04999999999999999,15.420000000000002,29.311690584529238,0.5260699636389689,10,2,3,0,0,0,0,0,3.302,81.913,872.301,20.658,5.48,8.85,0.8450980400142568
1RDJ,MFB,1,1,1.8,1.0,0.0217,-1.6635402661514704,1.6635402661514704,ND,4,-2.7755575615628914e-16,-1.850371707708594e-17,16.325333333333333,18.639409321642862,0.8758503583253265,6,0,5,0,0,0,0,0,-3.064,23.907,343.481,3.742,0.0,6.589,0.6989700043360189
1MTR,PI6,B,101,1.7,1.0,4e-09,-8.397940008672037,8.397940008672037,ND,12,0.003,6.25e-05,17.850208333333335,23.702905935050428,0.7530810096553403,33,4,6,0,0,0,0,0,-10.509,114.816,2141.94,4.747,77.359,5.28,1.1139433523068367
1RDL,MMA,1,1,1.7,1.0,0.0057,-2.2441251443275085,2.2441251443275085,ND,6,-0.0010000000000001674,-5.8823529411774553e-05,16.683529411764706,18.259727734194705,0.9136789800278196,6,0,6,0,0,0,0,0,-3.158,23.826,375.193,3.575,0.0,6.717,0.8450980400142568
1PRO,A88,A,301,1.8,1.0,5e-12,-11.301029995663981,11.301029995663981,ND,13,0.0030000000000001484,6.521739130435105e-05,17.143043478260868,29.09662351672061,0.5891763856520836,34,3,6,0,0,0,0,0,-11.835,140.135,2149.589,4.156,74.603,6.748,1.146128035678238
1RDI,MFU,1,1,1.8,1.0,0.0088,-2.0555173278498313,2.0555173278498313,ND,4,0.0009999999999998344,6.666666666665562e-05,17.794,17.615265343793276,1.010146577568853,7,0,5,0,0,0,0,0,-3.356,26.158,361.872,3.863,0.0,7.183,0.6989700043360189
1MDL,RMN,A,398,1.8,1.0,0.00081,-3.0915149811213505,3.0915149811213505,ND,3,-0.9990000000000001,-0.08325,44.060833333333335,13.460288255136382,3.273394484439806,8,0,3,0,0,0,0,0,-3.542,29.327,536.711,2.91,33.543,2.322,0.6020599913279624
1QBR,XV6,A,638,1.8,1.0,2.7e-11,-10.568636235841012,10.568636235841012,ND,14,0.00700000000000018,0.00011666666666666966,11.714,18.187508143322475,0.6440684401453194,41,6,5,0,2,0,0,0,-12.649,172.305,2546.123,5.869,92.276,6.769,1.1760912590556813
1QBS,DMP,A,323,1.8,1.0,3.4000000000000007e-10,-9.468521082957745,9.468521082957745,ND,14,0.0010000000000000347,2.1739130434783362e-05,14.319782608695657,23.60484665936468,0.6066458645269197,35,2,5,0,0,0,0,0,-11.687,132.127,2073.978,2.628,89.6,5.028,1.1760912590556813
3VGC,SRB,C,358,1.6,1.0,3.11e-06,-5.507239610973163,5.507239610973163,ND,6,5.377642775528102e-17,2.444383079785501e-18,20.43681818181818,16.090372441694427,1.2701271058748744,14,1,3,0,0,0,0,0,-11.687,132.127,2073.978,2.628,89.6,5.028,1.1760912590556813
2VGC,V35,C,358,1.8,1.0,5.76e-06,-5.239577516576788,5.239577516576788,ND,5,0.0009999999999999575,5.882352941176221e-05,24.961176470588242,19.929274327861,1.252487976227648,10,1,2,0,0,0,0,0,-11.687,132.127,2073.978,2.628,89.6,5.028,1.1760912590556813
1AMK,PGA,A,600,1.8,1.0,4.9999999999999996e-05,-4.301029995663981,4.301029995663981,ND,3,-2.5,-0.2777777777777778,9.19888888888889,18.09387248609327,0.5083980168401785,2,0,6,1,0,0,0,0,-2.004,49.695,554.232,7.25,0.0,6.172,0.6020599913279624
1TOM,MIN,H,1,1.8,1.0,5e-09,-8.301029995663981,8.301029995663981,ND,8,1.0,0.030303030303030304,18.655151515151516,28.52921769911491,0.6538963567770831,22,4,2,0,0,0,0,0,-8.507,96.608,1300.2,3.477,53.495,4.716,0.9542425094393249
1USN,IN9,A,300,1.8,1.0,1.8e-08,-7.7447274948966935,7.7447274948966935,ND,7,0.0029999999999998916,9.090909090908762e-05,15.171818181818182,19.404821882951623,0.7818581522331619,13,5,2,0,2,5,0,0,-6.468,84.15,995.678,2.605,22.008,3.369,0.9030899869919435
1MOQ,GLP,A,609,1.5,1.0,0.00035,-3.4559319556497243,3.4559319556497243,ND,7,-0.49900000000000033,-0.022681818181818195,9.897272727272728,22.715785714285854,0.4357002153374065,6,1,8,1,0,0,0,0,-7.055,64.661,1084.569,6.121,0.0,10.113,0.9030899869919435
2WEC,PP5,A,326,1.5,1.0,0.00010999999999999999,-3.958607314841775,3.958607314841775,ND,13,-0.9940000000000001,-0.024850000000000004,26.536500000000007,13.685052264808304,1.9390864928035203,28,2,7,1,0,0,0,0,-8.253,96.442,1671.509,2.409,50.794,3.895,1.146128035678238
1HXW,RIT,B,301,1.8,1.0,1.5e-11,-10.823908740944319,10.823908740944319,ND,19,0.0010000000000002429,1.7857142857147195e-05,19.48482142857143,25.749730312837134,0.7567000194505948,37,6,5,0,2,0,0,0,-8.859,142.201,2218.776,4.99,66.318,5.458,1.3010299956639813
1BJU,GP6,A,910,1.8,1.0,1.6e-05,-4.795880017344075,4.795880017344075,ND,4,-0.002999999999999947,-0.00011538461538461335,14.616538461538463,12.722295816733055,1.1488915736666017,14,4,1,0,0,0,0,0,-7.733,87.934,969.8,2.653,13.232,4.501,0.6989700043360189
1A7T,MES,A,250,1.8,1.0,0.023,-1.6382721639824072,1.6382721639824072,ND,3,-1.4989999999999999,-0.12491666666666666,28.30083333333333,14.20007816200854,1.9930054616917896,6,1,4,0,1,0,0,0,-3.743,34.387,569.741,0.479,0.0,0.831,0.6020599913279624
1AFK,PAP,A,125,1.7,1.0,2.4000000000000003e-07,-6.619788758288394,6.619788758288394,ND,10,-3.9990000000000006,-0.1080810810810811,25.921621621621625,21.45290146750523,1.2083037653850774,10,5,13,3,0,0,0,0,-4.841,98.033,1145.09,6.686,0.0,5.692,1.041392685158225
1HFS,L04,A,256,1.7,1.0,2e-09,-8.698970004336019,8.698970004336019,ND,18,-1.0010000000000001,-0.01853703703703704,14.84611111111111,20.16669286182055,0.736169842662585,43,3,5,0,0,1,0,0,-11.857,193.646,2686.079,4.908,139.246,3.368,1.2787536009528289
1A8I,GLS,A,998,1.7,1.0,3e-06,-5.522878745280337,5.522878745280337,ND,5,-3.885780586188048e-16,-1.68946982008176e-17,11.729565217391306,26.507901021789984,0.44249317242241804,8,2,7,0,0,0,0,0,-8.359,74.235,1013.186,3.613,0.0,7.905,0.7781512503836436
1BWB,146,B,641,1.8,1.0,3.8e-09,-8.42021640338319,8.42021640338319,ND,14,2.000999999999999,0.02858571428571427,21.823571428571423,22.65834054054055,0.9631584179575927,49,8,5,0,0,0,0,0,-13.134,176.337,2760.317,7.978,89.006,9.268,1.1760912590556813
1BXQ,PP8,A,324,1.4,1.0,4.2000000000000006e-08,-7.376750709602099,7.376750709602099,ND,19,-0.9990000000000002,-0.020812500000000005,5.781874999999999,7.953569187870334,0.7269535052033875,29,4,9,1,0,0,0,0,-7.895,141.601,1938.693,5.425,65.194,5.757,1.3010299956639813
1A28,STR,A,1,1.8,1.0,5.1e-09,-8.292429823902063,8.292429823902063,ND,1,2.7755575615628914e-17,1.206764157201257e-18,23.905217391304344,33.12097327076101,0.7217546777952845,21,0,2,0,0,0,0,0,-10.995,66.005,1429.726,1.464,51.341,1.428,0.3010299956639812
1AFL,ATR,A,125,1.7,1.0,5.2e-07,-6.2839966563652006,6.2839966563652006,ND,10,-3.9970000000000008,-0.10802702702702704,35.02324324324326,22.674393621485482,1.5446165321067915,10,5,13,3,0,0,0,0,-1.13,103.69,1169.529,13.439,0.0,5.157,1.041392685158225
16PK,BIS,A,499,1.6,1.0,6e-06,-5.221848749616356,5.221848749616356,ND,15,-3.4990000000000006,-0.07606521739130435,13.813913043478262,17.09854427083328,0.807899948947236,15,5,12,3,0,4,0,0,-7.479,106.749,1722.535,4.995,0.0,7.544,1.2041199826559248
2WEB,PP4,A,326,1.5,1.0,7.599999999999999e-06,-5.119186407719209,5.119186407719209,ND,14,-0.9950000000000003,-0.024875000000000008,15.920749999999998,14.090871080139369,1.1298627252675517,28,2,7,1,0,0,0,0,-8.405,122.094,1894.644,4.341,75.166,2.769,1.1760912590556813
1OTH,PAO,A,355,1.8,1.0,1e-07,-7.0,7.0,ND,8,-1.4990000000000006,-0.07495000000000003,11.165499999999998,21.08793727772394,0.5294733122994716,7,2,6,1,0,0,0,0,-8.119,106.432,1031.579,8.631,4.89,15.73,0.9542425094393249
830C,RS1,A,1,1.6,1.0,5.200000000000001e-10,-9.2839966563652,9.2839966563652,ND,7,-0.0019999999999999463,-6.666666666666488e-05,14.153666666666664,13.880407383831958,1.0196866904031219,19,1,6,0,1,0,0,0,-8.388,94.483,1522.652,5.113,33.343,5.098,0.9030899869919435
1CAQ,DPS,A,502,1.8,1.0,1.9e-08,-7.721246399047171,7.721246399047171,ND,8,-1.0040000000000007,-0.026421052631578967,15.81421052631579,18.16193890274308,0.8707336045452337,28,3,4,0,1,0,0,0,-11.107,134.419,1951.091,3.278,59.499,2.533,0.9542425094393249
1MFI,FHC,A,115,1.8,1.0,2.6e-06,-5.585026652029182,5.585026652029182,ND,3,-1.001,-0.0715,32.61571428571428,33.57317042606511,0.9714815095446723,9,0,3,0,0,1,0,0,-6.58,77.025,799.471,3.823,49.365,3.161,0.6020599913279624
1B8O,IMH,A,600,1.5,1.0,2.2999999999999998e-11,-10.638272163982407,10.638272163982407,ND,5,0.9979999999999998,0.036962962962962954,6.845555555555556,17.28306542056081,0.396084571167088,11,4,4,0,0,0,0,0,-9.368,101.01,1265.173,3.366,2.071,5.839,0.7781512503836436
1QHC,PUA,A,901,1.7,1.0,2.7e-08,-7.568636235841013,7.568636235841013,ND,15,-4.999,-0.0877017543859649,37.63649122807018,30.98900209643605,1.214511235661849,19,7,20,4,0,0,0,0,-6.95,135.822,1883.785,7.675,3.659,7.096,1.2041199826559248
1QCP,RWJ,A,300,1.8,1.0,3.0000000000000004e-08,-7.522878745280337,7.522878745280337,ND,9,1.0030000000000003,0.028657142857142867,24.10485714285715,20.30890936254982,1.1869104693188084,19,5,2,0,1,0,0,0,-0.334,102.576,1297.973,21.196,11.465,12.251,1.0
1HWR,216,B,216,1.8,1.0,4.700000000000001e-09,-8.327902142064282,8.327902142064282,ND,10,-1.0408340855860843e-16,-3.2526065174565133e-18,16.263125,20.98906080347452,0.7748381479417035,25,2,3,0,0,0,0,0,-9.066,90.618,1504.961,2.495,57.068,4.269,1.041392685158225
1QBV,PPX,H,907,1.8,1.0,4.1000000000000006e-06,-5.3872161432802645,5.3872161432802645,ND,7,-1.734723475976807e-18,-2.8912057932946783e-19,35.56333333333333,21.48772469922152,1.6550534703482012,6,0,0,0,0,0,0,0,-2.8,17.264,269.46,0.156,24.343,0.0,0.9030899869919435
3STD,MQ0,A,503,1.6,1.0,7.7e-12,-11.113509274827518,11.113509274827518,ND,6,0.002,6.451612903225807e-05,12.49387096774194,18.679236223662894,0.6688641236794617,24,4,0,0,0,0,0,0,-12.806,106.805,1686.75,1.894,134.466,1.792,0.8450980400142568
1C1U,BAI,H,410,1.7,1.0,5.6e-09,-8.2518119729938,8.2518119729938,ND,5,-0.002999999999999947,-9.999999999999824e-05,31.433666666666664,24.440097972973,1.286151418109186,16,6,0,0,0,0,0,0,-7.28,74.721,1135.256,2.326,8.845,3.005,0.7781512503836436
1F7B,NAV,C,902,1.8,1.0,2.5e-05,-4.6020599913279625,4.6020599913279625,ND,13,-0.9980000000000002,-0.03992000000000001,23.999199999999995,16.58344846342125,1.4471778926401198,11,1,8,0,0,0,0,0,-0.512,75.236,1047.882,16.881,6.743,10.882,1.146128035678238
1C5X,ESI,B,251,1.7,1.01,2.0999999999999997e-07,-6.6777807052660805,6.6777807052660805,ND,2,-0.0020000000000000018,-0.00011764705882352951,11.712941176470588,17.24395908543926,0.6792489542822538,9,2,0,0,1,0,0,0,-6.115,78.07,751.421,3.6,7.022,4.27,0.47712125471966244
1F3E,DPZ,A,400,1.8,1.0,2e-07,-6.698970004336019,6.698970004336019,ND,1,-0.0010000000000000564,-5.000000000000282e-05,20.436500000000002,21.89552351623741,0.9333643009195274,8,4,2,0,0,0,0,0,-7.609,65.074,794.981,2.993,19.033,5.101,0.3010299956639812
1E6S,GOX,M,921,1.3,1.0,0.0006,-3.2218487496163566,3.2218487496163566,ND,7,-0.0020000000000001683,-0.00010000000000000842,8.620000000000001,13.699155737704862,0.6292358569422457,6,2,5,0,0,0,0,0,-5.628,80.407,811.314,7.712,0.0,10.626,0.9030899869919435
1F74,NAY,A,950,1.6,1.0,0.0009000000000000001,-3.0457574905606752,3.0457574905606752,ND,13,-0.9990000000000002,-0.03996000000000001,14.9668,12.666550644237681,1.1816002967476198,11,1,8,0,0,0,0,0,-5.218,74.219,1012.893,6.876,2.419,10.379,1.146128035678238
1C5S,ESX,A,246,1.3,1.0,1e-06,-6.0,6.0,ND,2,-0.0030000000000000027,-0.00018750000000000017,19.644375,18.734758826454446,1.048552328960922,9,2,0,0,1,0,0,0,-6.17,69.006,686.885,3.006,6.907,4.691,0.47712125471966244
1B6K,PI5,A,201,1.8,1.0,1.8000000000000002e-09,-8.744727494896694,8.744727494896694,ND,14,0.0009999999999998873,1.8181818181816132e-05,11.630727272727272,15.90909507445591,0.7310740943023148,37,5,7,0,0,0,0,0,-10.685,113.911,2300.125,4.587,66.664,6.443,1.1760912590556813
1F0T,PR1,A,304,1.8,1.0,1.0000000000000002e-06,-6.0,6.0,ND,8,-0.000999999999999987,-2.7027027027026674e-05,18.686756756756754,19.352021912350594,0.9656229639152453,19,5,4,0,2,0,0,0,-6.906,103.172,1199.611,4.31,17.131,4.367,0.9542425094393249
1DQN,IMU,A,300,1.7,1.0,1e-08,-8.0,8.0,ND,6,-0.49899999999999967,-0.015121212121212112,13.515757575757576,20.119455947136576,0.6717754998579449,11,5,7,1,0,0,0,0,-8.283,102.462,1064.541,6.902,2.514,11.903,0.8450980400142568
1E2K,TMC,A,500,1.7,1.0,1.14e-05,-4.943095148663527,4.943095148663527,ND,4,0.0,0.0,23.568571428571428,31.569146235437383,0.7465698075203233,12,2,4,0,0,0,0,0,-6.524,84.509,1133.365,3.739,36.214,0.462,0.6989700043360189
1QBN,688,A,300,1.8,1.0,1.4000000000000001e-06,-5.853871964321762,5.853871964321762,ND,8,-0.9989999999999999,-0.024974999999999997,15.193000000000001,18.50898101898103,0.820844755549726,22,5,5,0,0,0,0,0,-8.287,104.481,1265.705,3.033,19.747,5.013,0.9542425094393249
1C83,OAI,A,301,1.8,1.0,1.4e-05,-4.853871964321762,4.853871964321762,ND,3,-2.001,-0.10005,9.260500000000002,16.518804165267063,0.5606035344538686,11,2,5,0,0,0,0,0,-7.576,102.803,968.437,6.133,39.233,6.28,0.6020599913279624
1QBO,711,A,300,1.8,1.0,1.8000000000000002e-08,-7.7447274948966935,7.7447274948966935,ND,6,-0.0009999999999998968,-2.5641025641022994e-05,28.5474358974359,23.04670329670327,1.2386776334088305,27,6,1,0,0,0,0,0,-8.782,110.973,1407.332,4.56,23.763,5.123,0.8450980400142568
1F57,DCY,A,308,1.7,1.0,2.2999999999999996e-06,-5.638272163982407,5.638272163982407,ND,3,0.002000000000000085,0.0002000000000000085,12.686,15.018825109097016,0.8446732622457928,3,1,2,0,1,0,0,0,-2.931,32.838,347.48,2.379,0.0,3.907,0.6020599913279624
1EJN,AGB,A,800,1.8,1.0,2.4e-06,-5.619788758288394,5.619788758288394,ND,4,0.9960000000000001,0.031125000000000003,18.9959375,34.48822055137845,0.5507949437896053,19,5,1,0,0,0,0,0,-8.672,99.968,1295.502,5.363,7.278,7.323,0.6989700043360189
1C5P,BAM,A,246,1.4,1.0,2.1e-05,-4.6777807052660805,4.6777807052660805,ND,2,-0.0010000000000000564,-7.692307692308126e-05,22.116153846153846,19.181223272003976,1.1530106048258955,7,2,0,0,0,0,0,0,-5.259,55.894,568.79,2.239,3.635,3.976,0.47712125471966244
1QB9,806,A,300,1.8,1.0,3.6000000000000005e-08,-7.443697499232712,7.443697499232712,ND,7,-0.0020000000000000573,-4.6511627906978076e-05,38.6067441860465,20.94483516483525,1.8432584397161653,31,5,1,0,0,0,0,0,-7.896,107.235,1467.608,6.006,23.36,5.691,0.9030899869919435
1C88,OTA,A,301,1.8,1.0,5.0999999999999995e-06,-5.292429823902063,5.292429823902063,ND,3,-1.999,-0.09995000000000001,15.213,26.838884408602173,0.5668268385672565,10,2,5,0,1,0,0,0,-6.824,104.22,966.135,7.886,23.927,8.137,0.6020599913279624
1B6L,PI4,A,201,1.7,1.0,5e-09,-8.301029995663981,8.301029995663981,ND,8,1.0019999999999998,0.02226666666666666,15.024888888888887,19.236180790960464,0.781074426995895,28,5,6,0,0,0,0,0,-11.208,104.521,1962.1,4.321,47.129,6.288,0.9542425094393249
1QQ9,MET,A,903,1.5,1.0,0.0087,-2.0604807473813813,2.0604807473813813,ND,5,0.001999999999999974,0.0001666666666666645,19.92,15.6776369452219,1.2705996490160498,5,1,2,0,1,0,0,0,-4.051,52.559,569.809,2.857,1.387,4.16,0.7781512503836436
8A3H,IDC,A,500,0.9,1.0,8.8e-05,-4.055517327849832,4.055517327849832,ND,11,-1.6653345369377348e-16,-5.046468293750712e-18,7.120909090909091,10.622387434554968,0.6703680443573866,14,2,9,0,0,0,0,0,-7.814,106.363,1267.99,8.791,0.0,13.469,1.0791812460476249
1J4R,001,A,108,1.8,1.0,1.8999999999999998e-08,-7.721246399047171,7.721246399047171,ND,16,0.0019999999999999463,4.347826086956405e-05,15.94369565217391,13.418349673202629,1.1882009368122648,35,2,6,0,0,2,0,0,-7.047,119.194,1571.656,4.161,77.839,2.852,1.2304489213782739
1F8C,4AM,A,4,1.7,1.0,4e-08,-7.3979400086720375,7.3979400086720375,ND,9,0.0019999999999997797,7.407407407406591e-05,10.947777777777778,14.856654294803807,0.7368938901409869,11,2,7,0,0,0,0,0,-5.564,73.316,996.801,6.411,8.531,8.32,1.0
1FSY,105,A,964,1.7,1.0,1.5e-07,-6.823908740944319,6.823908740944319,ND,8,0.0010000000000000286,3.846153846153956e-05,29.568846153846152,27.537469844071733,1.073767717995767,12,2,4,0,0,0,0,0,-5.564,73.316,996.801,6.411,8.531,8.32,1.0
1E6Q,NTZ,M,999,1.3,1.0,0.0007,-3.154901959985743,3.154901959985743,ND,5,-0.003000000000000058,-0.00015000000000000291,8.681000000000001,12.921065573770454,0.6718486142212826,6,4,4,0,0,0,0,0,-6.382,78.224,864.169,5.437,0.0,7.687,0.7781512503836436
